filepath,label
data/clips/nonvocaloid/(01) MY MAI☆TONIGHT.mp3,nonvocaloid
data/clips/nonvocaloid/(02)  MIRACLE WAVE.mp3,nonvocaloid
data/clips/nonvocaloid/001 - Title.mp3,nonvocaloid
data/clips/nonvocaloid/001-Amazing Travel DNA.flac,nonvocaloid
data/clips/nonvocaloid/001-Braveheart Coaster.flac,nonvocaloid
data/clips/nonvocaloid/001-Dazzling White Town.flac,nonvocaloid
data/clips/nonvocaloid/001-Fantastic Departure!.flac,nonvocaloid
data/clips/nonvocaloid/001-LIVE with a smile!.flac,nonvocaloid
data/clips/nonvocaloid/001-New Romantic Sailors.flac,nonvocaloid
data/clips/nonvocaloid/001-smile smile ship Start!.flac,nonvocaloid
data/clips/nonvocaloid/002 - WHITE SPACE.mp3,nonvocaloid
data/clips/nonvocaloid/002-Aqours Pirates Desire.flac,nonvocaloid
data/clips/nonvocaloid/002-CHANGELESS.flac,nonvocaloid
data/clips/nonvocaloid/002-Lonely Snow Planet.flac,nonvocaloid
data/clips/nonvocaloid/002-Love Pulsar.flac,nonvocaloid
data/clips/nonvocaloid/002-心の羽よ君へ飛んでけ！.flac,nonvocaloid
data/clips/nonvocaloid/002-空中恋愛論.flac,nonvocaloid
data/clips/nonvocaloid/003 - Lost At A Sleepover.mp3,nonvocaloid
data/clips/nonvocaloid/003-After The Rain.flac,nonvocaloid
data/clips/nonvocaloid/003-Phantom Rocket Adventure.flac,nonvocaloid
data/clips/nonvocaloid/003-コドク・テレポート.flac,nonvocaloid
data/clips/nonvocaloid/003-メイズセカイ.flac,nonvocaloid
data/clips/nonvocaloid/004 - Spaces In-Between.mp3,nonvocaloid
data/clips/nonvocaloid/005 - By Your Side..mp3,nonvocaloid
data/clips/nonvocaloid/005-Main theme of Aqours 5th anniversary!!.flac,nonvocaloid
data/clips/nonvocaloid/006 - Let_s Get Together Now!.mp3,nonvocaloid
data/clips/nonvocaloid/007 - 100 Sunny.mp3,nonvocaloid
data/clips/nonvocaloid/009 - Push _ Shove.mp3,nonvocaloid
data/clips/nonvocaloid/01 - Airship Pirate.mp3,nonvocaloid
data/clips/nonvocaloid/01 - Clone Factories.mp3,nonvocaloid
data/clips/nonvocaloid/01 - Come Take A Trip In My Airship.mp3,nonvocaloid
data/clips/nonvocaloid/01 - Holy War (remix by Gossamer).mp3,nonvocaloid
data/clips/nonvocaloid/01 - JIMO-AI Dash!.flac,nonvocaloid
data/clips/nonvocaloid/01 - Little DrummerBoy.mp3,nonvocaloid
data/clips/nonvocaloid/01 - Mister Overkill.mp3,nonvocaloid
data/clips/nonvocaloid/01 - Off the Grid.mp3,nonvocaloid
data/clips/nonvocaloid/01 - Reboot.mp3,nonvocaloid
data/clips/nonvocaloid/01 - Scallywag Swing.mp3,nonvocaloid
data/clips/nonvocaloid/01 - Steampunk Revolution.mp3,nonvocaloid
data/clips/nonvocaloid/01 - Stigmata Martyr.mp3,nonvocaloid
data/clips/nonvocaloid/01 - The Circus At The End Of The World.mp3,nonvocaloid
data/clips/nonvocaloid/01 - the dumplings - slodko slony cios.mp3,nonvocaloid
data/clips/nonvocaloid/01 - The End Of Days.mp3,nonvocaloid
data/clips/nonvocaloid/01 - The Root Of All Evil.mp3,nonvocaloid
data/clips/nonvocaloid/01 - The Wake.mp3,nonvocaloid
data/clips/nonvocaloid/01 - Through Your Eyes on Christmas Eve.mp3,nonvocaloid
data/clips/nonvocaloid/01 - Tribal Nomad.mp3,nonvocaloid
data/clips/nonvocaloid/01 - Under the Radar.mp3,nonvocaloid
data/clips/nonvocaloid/01 - Whole Life Crisis.mp3,nonvocaloid
data/clips/nonvocaloid/01 - Yume Kataruyori Yume Utaou.mp3,nonvocaloid
